filename,title,feature,role,level
help/product-guide/./cs-install-guide/conf-auto-uuid-filenames.md,Configure auto-filenames based on UUID,Filename Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-file-names-valid-regx.md,Configure Regx for valid file name characters,Filename Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-file-names-valid-regx-aem-site-output.md,Configure valid file names for AEM Site output,Filename Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-template-tags.md,Configure topic and map templates,Template Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-template-tags-custom-dita-topic-template.md,Configure custom DITA topic template,Template Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-template-tags-custom-dita-map-templates.md,Configure custom DITA map template,Template Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/customize-doc-state.md,Configure document states,Document State,Admin,Experienced
help/product-guide/./cs-install-guide/conf-web-editor.md,Customize Web Editor,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-web-editor-customize-toolbar.md,Customize toolbar,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/configure-default-value-tags-view.md,Configure default value for the Tags View,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-uuid-based-links.md,Configure display of UUID-based links,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/open-dita-files-same-tab.md,Open DITA topic or map files in same tab,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/configure-custom-panel.md,Configure a custom panel in the left panel,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/auto-save-in-editor.md,Configure file auto-save in the Web Editor,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-save-as-new-version-close.md,Configure prompt to save as a new version on close,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-checkin-file-close.md,Configure prompt to check in a file on close,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-special-chars.md,Configure allowed special characters,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/auto-generate-ids.md,Auto-generate element IDs,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/customize-aem-custom-dictionary.md,Customize AEM's default dictionary,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/config-text-filters.md,Configure text filters,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-custom-file-filters.md,Configure filters for file browse dialog,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/configure-article-based-publishing.md,Install packages for Article-based publishing,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-pdf-generation-dita-ot.md,Configure single topic PDF generation,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-translation-web-editor.md,Configure Translation feature in the Web Editor,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-data-source-connector.md,Configure a data source connector,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-data-source-connector-tools.md,Configure a data source connector using tools,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/conf-map-editor.md,Set the Advanced Map Editor as default,Web Editor Configuration,Admin,Experienced
help/product-guide/./cs-install-guide/auto-add-navtitle.md,Include @navtitle attribute by default,Web Editor Configuration,Admin,Experienced
